geografia,desfecho,modelo,termo,or,ic95_inf,ic95_sup,p_valor,significancia
RMBH,Mais de 1,Demográfico,"C(raca, Treatment('Brancos'))[T.Negros]",2.9641026168328968,1.052718765796471,8.345917835394854,0.03966357427755584,*
RMBH,Mais de 1,Demográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Casado/a]",5.532163135936016,0.6897566463820011,44.370473446166486,0.10732861073512064,
RMBH,Mais de 1,Demográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Separado/a]",1.0054533934630019,0.05989511265716949,16.878447699275778,0.9969846959899799,
RMBH,Mais de 1,Demográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Viúvo/a]",3.819954218373942,0.4479275491740715,32.57680903391405,0.22036428609171743,
RMBH,Mais de 1,Demográfico,idade1,0.9882282702841801,0.9288157270046954,1.0514411909650252,0.7081668921859633,
RMBH,Mais de 1,Sociodemográfico,Intercept,0.012271053532834789,8.09221805311789e-05,1.8607846923709634,0.0858732708209277,+
RMBH,Mais de 1,Sociodemográfico,"C(sexo, Treatment('Masculino'))[T.Feminino]",4.187208740351899,1.352011490573883,12.967875759574566,0.01303292800629371,*
RMBH,Mais de 1,Sociodemográfico,"C(raca, Treatment('Brancos'))[T.Negros]",3.1171126082913534,1.0461845224875825,9.287454367672746,0.0412489851292848,*
RMBH,Mais de 1,Sociodemográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Casado/a]",5.86696232670858,0.7202871955993639,47.78822552075943,0.09825668194464808,+
RMBH,Mais de 1,Sociodemográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Separado/a]",1.2173999574942396,0.0711749718988208,20.82280634566053,0.8919855685175264,
RMBH,Mais de 1,Sociodemográfico,"C(estadocivil, Treatment('Solteiro/a'))[T.Viúvo/a]",3.710244722449334,0.4326845248614919,31.815133450566066,0.23175343539615156,
RMBH,Mais de 1,Sociodemográfico,"C(renda, Treatment('Até R$1620'))[T.Acima de R$4600]",1.090059060283641,0.30661802140405064,3.875273702000209,0.8939961972077805,
RMBH,Mais de 1,Sociodemográfico,"C(renda, Treatment('Até R$1620'))[T.R$1620 a R$2600]",0.17716552045823977,0.022244156679866987,1.4110501958317738,0.1021077377058496,
RMBH,Mais de 1,Sociodemográfico,"C(renda, Treatment('Até R$1620'))[T.R$2300 a R$4600]",0.5521478999090845,0.14506652389044322,2.101568957454675,0.38379475311628974,
RMBH,Mais de 1,Sociodemográfico,idade1,0.9849900877713138,0.9257547453873334,1.0480156627248063,0.6327043440141008,
RMBH,Mais de 1,Geral,Intercept,0.010573009729292862,6.508677546832769e-05,1.7175306954654666,0.07982493686382655,+
RMBH,Mais de 1,Geral,"C(sexo, Treatment('Masculino'))[T.Feminino]",4.461252488197642,1.4286094976878492,13.931570380612442,0.010055520704185486,*
RMBH,Mais de 1,Geral,"C(raca, Treatment('Brancos'))[T.Negros]",3.0819156662509934,1.021184321297377,9.301165299733734,0.04580775120536016,*
RMBH,Mais de 1,Geral,"C(estadocivil, Treatment('Solteiro/a'))[T.Casado/a]",5.3739628179343475,0.6536419398357254,44.18241028995006,0.1177246816312349,
RMBH,Mais de 1,Geral,"C(estadocivil, Treatment('Solteiro/a'))[T.Separado/a]",1.0359478539076328,0.05990118478624773,17.915972110491808,0.9806257546224539,
RMBH,Mais de 1,Geral,"C(estadocivil, Treatment('Solteiro/a'))[T.Viúvo/a]",3.7024983076027556,0.42749241310927377,32.06722107205482,0.23466515035517355,
RMBH,Mais de 1,Geral,"C(renda, Treatment('Até R$1620'))[T.Acima de R$4600]",0.9143781678021647,0.2521650850085861,3.3156352066931674,0.8916687031418852,
RMBH,Mais de 1,Geral,"C(renda, Treatment('Até R$1620'))[T.R$1620 a R$2600]",0.15196748968269996,0.0189289001795917,1.2200454173962294,0.07625829280212158,+
RMBH,Mais de 1,Geral,"C(renda, Treatment('Até R$1620'))[T.R$2300 a R$4600]",0.49398308113810097,0.1276470090346096,1.9116725593196582,0.30703671353698014,
RMBH,Mais de 1,Geral,"C(dif_andar, Treatment('Sem mobilidade reduzida'))[T.Com mobilidade reduzida]",0.37659211179872026,0.127979075959657,1.1081625461472036,0.07615278221301698,+
RMBH,Mais de 1,Geral,idade1,0.9921275584640193,0.930878765455926,1.0574063227037702,0.8079305550309828,
