sexo,raca,idade1,estadocivil,renda,dif_andar,religiao,religiao2
Feminino,Negros,63,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,72,Casado/a,,Sem mobilidade reduzida,1,0
Feminino,Brancos,66,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,62,Viúvo/a,R$1620 a R$2600,Sem mobilidade reduzida,1,0
Feminino,Negros,74,Solteiro/a,Até R$1620,Com mobilidade reduzida,1,0
Feminino,Negros,66,Viúvo/a,Até R$1620,Sem mobilidade reduzida,1,1
Feminino,Negros,70,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,80,Separado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,76,Viúvo/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Brancos,68,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,1,1
Masculino,Negros,61,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Negros,83,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Brancos,64,Separado/a,R$1620 a R$2600,Sem mobilidade reduzida,1,0
Masculino,Negros,71,,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,68,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,61,,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,66,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,1,0
Feminino,Negros,63,Separado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Negros,65,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Negros,62,Viúvo/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Brancos,78,Viúvo/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,71,Casado/a,Até R$1620,Sem mobilidade reduzida,1,1
Feminino,Brancos,70,Separado/a,Até R$1620,Sem mobilidade reduzida,1,0
Masculino,Brancos,66,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Brancos,61,Separado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,67,Separado/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,70,Casado/a,Até R$1620,Sem mobilidade reduzida,1,1
Masculino,Negros,84,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,82,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,70,Casado/a,,Com mobilidade reduzida,0,0
Feminino,Brancos,66,Solteiro/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,78,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,66,Casado/a,Até R$1620,Sem mobilidade reduzida,1,0
Masculino,Negros,68,Casado/a,R$1620 a R$2600,Com mobilidade reduzida,0,0
Masculino,Brancos,71,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,65,Viúvo/a,R$2600 a R$4600,Sem mobilidade reduzida,1,0
Feminino,Brancos,87,Casado/a,Acima de R$4600,Sem mobilidade reduzida,1,1
Masculino,Brancos,66,Viúvo/a,Acima de R$4600,Sem mobilidade reduzida,0,0
