code_tract,populacao
310620005630167,696
310620005630168,466
310620005630169,334
310620005630170,699
310620005630171,506
310620005630172,892
310620005630173,376
310620005630174,915
310620005630175,547
310620005630176,661
310620005630177,617
310620005630178,450
310620005630180,554
310620005630181,553
310620005630182,381
310620005630183,449
310620005630184,560
310620005630185,426
310620005630186,453
310620005630187,514
310620005630188,614
310620005630189,472
310620005630190,306
310620005630191,204
310620005630192,365
310620005630193,740
310620005630194,692
310620005630195,773
310620005630196,381
310620005630197,592
310620005630198,509
310620005630199,587
310620005630200,639
310620005630201,757
310620005630202,546
310620005630203,512
310620005630204,745
310620005630205,414
310620005630206,494
310620005630207,702
310620005630208,5
310620005630211,459
310620005630213,590
310620005630214,417
310620005630215,456
310620005630216,513
310620005630217,506
310620005630218,687
310620005630219,401
310620005630220,443
310620005630221,433
310620005630222,538
310620005630223,658
310620005630224,506
310620005630225,292
310620005630226,523
310620005630227,483
310620005630228,659
310620005630229,541
310620005630230,514
310620005630231,566
310620005630233,243
310620005630234,472
310620005630238,549
310620005630239,746
310620005630240,633
310620005630241,471
310620005630242,623
310620005630243,540
310620005630244,334
310620005630245,378
310620005630246,421
310620005630247,628
310620005630248,762
310620005630249,242
310620005630250,604
310620005630251,590
310620005630252,922
310620005630253,548
310620005630254,1071
310620005630255,1262
310620005630256,95
310620005630257,1096
310620005630258,931
310620005630260,650
310620005630261,766
310620005630262,823
310620005630263,512
310620005630264,550
310620005630265,601
310620005630266,648
310620005630267,855
310620005630268,1075
310620005630269,600
310620005630270,528
310620005630271,816
310620005630272,568
310620005630273,149
310620005630275,265
310620005630276,363
310620005630277,435
310620005630278,111
310620005630279,247
310620005630280,467
310620005630281,344
310620005630282,455
310620005630283,390
310620005630284,498
310620005630285,440
310620005630286,555
310620005630287,423
310620005630288,332
310620005630289,557
310620005630290,426
310620005630291,568
310620005630292,420
310620005630293,534
310620005630294,384
310620005630295,274
310620005630296,120
310620005630297,61
310620005630298,242
310620005630299,622
310620005630300,117
310620005630301,248
310620005630302,490
310620005630303,500
310620005630304,78
310620005630305,480
310620005630306,53
310620005630307,178
310620005630308,152
310620005630309,140
310620005630310,449
310620005630311,3
310620005630312,368
310620005630314,373
310620005630315,48
310620005630316,214
310620005630317,308
310620005630318,286
310620005630319,0
310620005630320,116
310620005630321,553
310620005630322,125
310620005630323,463
310620005630324,570
310620005630325,523
310620005630326,290
310620005630328,498
310620005630329,421
310620005630332,95
310620005630334,614
310620005630335,387
310620005630336,396
310620005630337,458
310620005630338,30
310620005630339,299
310620005630340,213
310620005630341,466
310620005630343,699
310620005630344,363
310620005630345,126
310620005630346,490
310620005630347,515
310620005630348,437
310620005630349,686
310620005630350,198
310620005630351,194
310620005630352,322
310620005630353,165
310620005630354,362
310620005630356,222
310620005630357,316
310620005630358,158
310620005630360,586
310620005630361,485
310620005630362,325
310620005630363,683
310620005630364,568
310620005630365,400
310620005630366,180
310620005630367,424
310620005630368,610
310620005630369,501
310620005630371,509
310620005630372,771
310620005630373,108
310620005630374,754
310620005630375,264
310620005630376,71
310620005630377,364
310620005630378,336
310620005630379,676
310620005630380,666
310620005630381,389
310620005630382,169
310620005630383,0
310620005630385,267
310620005630386,530
310620005630387,496
310620005630388,606
310620005630389,581
310620005630391,514
310620005630392,161
310620005630393,13
310620005630395,93
310620005630396,571
310620005630398,190
310620005630399,401
310620005630400,289
310620005630411,688
310620005630412,42
310620005630413,54
310620005630414,45
310620005630415,293
310620005630416,367
310620005630417,448
310620005630418,345
310620005630419,306
310620005630420,414
310620005630421,351
310620005630422,299
310620005630423,403
310620005630424,441
310620005630425,397
310620005630426,489
310620005630427,409
310620005630428,342
310620005630429,412
310620005630430,417
310620005630431,262
310620005630432,351
310620005630433,520
310620005630434,425
310620005630435,342
310620005630436,398
310620005630437,359
310620005630438,353
310620005630439,354
310620005630440,285
310620005630441,325
310620005630442,341
310620005630443,378
310620005630444,507
310620005630445,326
310620005630446,528
310620005630447,672
310620005630448,459
310620005630449,486
310620005630450,438
310620005630451,453
310620005630452,484
310620005630453,352
310620005630454,295
310620005630455,362
310620005630456,394
310620005630457,434
310620005630458,275
310620005630459,452
310620005630460,417
310620005630461,505
310620005630462,255
310620005630463,132
310620005630464,317
310620005630465,358
310620005630466,251
310620005630467,612
310620005630468,377
310620005630469,225
310620005630470,144
310620005630471,408
310620005630472,370
310620005630473,328
310620005630474,347
310620005630475,517
310620005630476,548
310620005630477,710
310620005630478,714
310620005630479,448
310620005630481,84
310620005630482,22
310620005630483,24
310620005630485,23
310620005630486,484
310620005630487,472
310620005630488,420
310620005630489,461
310620005630490,431
310620005630491,350
310620005630492,575
310620005630493,463
310620005630494,360
310620005630495,277
310620005630496,490
310620005630497,753
310620005630498,289
310620005630499,196
310620005630500,376
310620005630501,84
310620005630502,76
310620005630503,422
310620005630504,697
310620005640001,722
310620005640002,743
310620005640003,487
310620005640004,318
310620005640005,463
310620005640006,701
310620005640007,434
310620005640008,509
310620005640009,508
310620005640010,508
310620005640011,340
310620005640012,390
310620005640013,640
310620005640014,539
310620005640015,507
310620005640016,577
310620005640017,533
310620005640018,422
310620005640019,488
310620005640020,502
310620005640021,259
310620005640022,746
310620005640023,563
310620005640024,429
310620005640025,521
310620005640026,452
310620005640027,691
310620005640028,790
310620005640029,462
310620005640031,389
310620005640032,473
310620005640033,392
310620005640034,67
310620005640035,491
310620005640036,540
310620005640037,324
310620005640038,389
310620005640039,415
310620005640040,709
310620005640041,622
310620005640042,391
310620005640043,363
310620005640044,703
310620005640045,835
310620005640046,763
310620005640047,527
310620005640048,751
310620005640049,403
310620005640050,710
310620005640051,478
310620005640052,668
310620005640053,539
310620005640054,682
310620005640055,358
310620005640056,413
310620005640057,698
310620005640058,498
310620005640059,504
310620005640060,685
310620005640061,536
310620005640062,668
310620005640063,855
310620005640064,677
310620005640065,708
310620005640066,829
310620005640067,691
310620005640068,570
310620005640069,627
310620005640070,487
310620005640071,656
310620005640072,508
310620005640073,515
310620005640074,417
310620005640075,363
310620005640076,707
310620005640077,350
310620005640078,649
310620005640079,504
310620005640080,261
310620005640081,510
310620005640082,662
310620005640083,514
310620005640084,454
310620005640085,792
310620005640086,741
310620005640087,487
310620005640088,724
310620005640089,454
310620005640090,812
310620005640091,466
310620005640092,514
310620005640093,590
310620005640094,594
310620005640095,717
310620005640096,461
310620005640098,538
310620005640099,599
310620005640100,612
310620005640101,623
310620005640102,659
310620005640103,576
310620005640104,637
310620005640105,709
310620005640106,376
310620005640107,401
310620005640108,724
310620005640109,455
310620005640110,695
310620005640111,547
310620005640112,572
310620005640113,532
310620005640114,109
310620005640115,787
310620005640116,512
310620005640117,794
310620005640118,490
310620005640119,431
310620005640120,672
310620005640121,460
310620005640122,482
310620005640123,773
310620005640124,695
310620005640125,758
310620005640126,210
310620005640127,676
310620005640128,559
310620005640129,164
310620005640130,413
310620005640131,859
310620005640132,831
310620005640133,984
310620005640134,742
310620005640135,452
310620005640136,621
310620005640137,408
310620005640138,688
310620005640139,173
310620005640140,230
310620005640141,745
310620005640142,34
310620005640143,976
310620005640144,21
310620005640145,664
310620005640146,407
310620005640147,399
310620005640148,552
310620005640150,658
310620005640151,490
310620005640152,534
310620005640153,566
310620005640154,0
310620005640155,753
310620005640156,515
310620005640158,348
310620005640159,337
310620005640160,347
310620005640161,672
310620005640162,669
310620005640163,728
310620005640164,640
310620005640165,403
310620005640166,291
310620005640167,157
310620005640168,598
310620005640169,286
310620005640170,174
310620005640171,422
310620005640172,504
310620005640173,496
310620005640174,275
310620005640175,150
310620005640176,411
310620005640177,457
310620005640178,626
310620005640179,397
310620005640180,78
310620005640181,146
310620005640182,144
310620005640183,605
310620005640184,462
310620005640185,41
310620005640186,299
310620005640187,269
310620005640188,299
310620005640189,225
310620005640191,74
310620005640192,322
310620005640193,101
310620005640194,80
310620005640195,317
310620005640196,239
310620005640197,449
310620005640198,515
310620005640199,219
310620005640200,344
310620005640201,244
310620005640202,520
310620005640203,370
310620005640204,370
310620005640205,111
310620005640206,103
310620005640207,122
310620005640208,129
310620005640209,376
310620005640210,222
310620005640211,70
310620005640212,19
310620005640213,0
310620005640214,355
310620005640215,450
310620005640216,18
310620005640217,587
310620005640218,349
310620005640219,225
310620005640220,318
310620005640221,555
310620005640222,660
310620005640223,347
310620005640224,740
310620005640225,0
310620005640226,72
310620005640227,319
310620005640228,286
310620005640229,543
310620005640230,131
310620005640231,99
310620005640232,283
310620005640233,447
310620005640234,429
310620005640235,366
310620005640236,659
310620005640237,338
310620005640238,396
310620005640239,296
310620005640240,293
310620005640241,446
310620005640242,416
310620005640243,307
310620005640244,482
310620005640245,405
310620005640246,344
310620005640247,359
310620005640248,377
310620005640249,441
310620005640250,389
310620005640251,488
310620005640252,396
310620005640253,593
310620005640254,482
310620005640255,481
310620005640256,389
310620005640257,620
310620005640258,448
310620005640259,319
310620005640260,366
310620005640261,488
310620005640262,320
310620005640263,422
310620005640264,290
310620005640265,346
310620005640266,407
310620005640267,300
310620005640268,256
310620005640269,355
310620005640270,383
310620005640271,360
310620005640272,407
310620005640273,439
310620005640274,301
310620005640275,553
310620005640276,4
310620005640277,783
310620005640278,625
310620005640279,364
310620005640280,356
310620005640281,374
310620005640282,458
310620005640283,361
310620005640284,312
310620005640285,397
310620005650001,534
310620005650002,287
310620005650003,278
310620005650004,745
310620005650005,581
310620005650006,582
310620005650007,339
310620005650008,392
310620005650009,226
310620005650010,442
310620005650011,409
310620005650012,402
