id_estabelecimento,cod_setor,latitude,longitude,dsc_estabe,categoria_original,confissao
366,310620060690434P,-19.805045,-43.958849,IGREJA AGAPE,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
367,310620005640135P,-19.903721,-43.935381,IGREJA AGAPE,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
368,310620005650592P,-19.909564,-43.968756,IGREJA AGUAS QUE SARAM,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
369,310620060640095P,-19.863772,-43.908036,IGREJA AGUAS QUE SARAM,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
370,310620025610336P,-20.014892,-44.020995,IGREJA ALIANCA COM DEUS,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
371,310620060690478P,-19.805532,-43.989625,IGREJA ALIANCA COM DEUS,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
372,310620060660036P,-19.8251,-43.924952,IGREJA ALIANCA COM DEUS,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
373,310620060690299P,-19.787695,-43.979055,IGREJA ALIANCA COM DEUS,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
374,310620025610352P,-20.010995,-44.013794,IGREJA ALIANCA ETERNA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
375,310620060690041P,-19.810714,-43.99404,IGREJA ALIANCA ETERNA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
376,310620005670508P,-19.939187,-44.023107,IGREJA ALIANCA ETERNA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
377,310620025610510P,-19.995094,-43.995304,IGREJA ALINCA ETERNA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
378,310620060660184P,-19.800841,-43.925171,IGREJA ALVO E O CEU,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
379,310620025610034P,-20.003883,-44.006184,IGREJA AMOR ETERNO,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
380,310620060640187P,-19.859334,-43.870234,IGREJA AMOR MAIOR PARA AS NACOES,AFRO-BRASILEIRA,Afro-brasileira
381,310620005670747P,-19.930898,-43.981096,IGREJA ANGLICANA,PROTESTANTE HISTÓRICA,Protestante/Evangélica
382,310620005670092P,-19.950559,-43.969169,IGREJA APOSTLICA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
383,310620005670578P,-19.95383,-43.998244,IGREJA APOSTOLICA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
384,310620005630059P,-19.911982,-43.896571,IGREJA APOSTOLICA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
385,310620060640038P,-19.833299,-43.889462,IGREJA APOSTOLICA BATISTA,PROTESTANTE HISTÓRICA,Protestante/Evangélica
386,310620005670092P,-19.951685,-43.967829,IGREJA APOSTOLICA CRISTO VIVO,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
387,310620025610128P,-20.020355,-44.034362,IGREJA APOSTOLICA DA FE,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
388,310620005620363P,-19.961347,-43.950721,IGREJA APOSTOLICA FACE DO LEAO,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
389,310620060640074P,-19.831807,-43.887194,IGREJA APOSTOLICA FIM DOS TEMPOS,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
390,310620025610337P,-20.013827,-44.028224,IGREJA APOSTOLICA PRIMITIVA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
391,310620005620328P,-19.924203,-43.949963,IGREJA APOSTOLICA RENASCER,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
392,310620005630499P,-19.892936,-43.895716,IGREJA APOSTOLICA REVIVER,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
393,310620005680548P,-19.902996,-43.994321,IGREJA APOSTOLICA SAO JOSE,CATÓLICA,Católica
394,310620005630172P,-19.918006,-43.886183,IGREJA APOSTOLICA TERRA PROMETIDA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
395,310620060640240P,-19.859737,-43.876282,IGREJA APRISCO CHURCH,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
396,310620005650110P,-19.914881,-44.001852,IGREJA ARCA DA ALIANCA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
397,310620005630418P,-19.910616,-43.894074,IGREJA ARCA DA ALIANCA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
398,310620060660097P,-19.853702,-43.926612,IGREJA ARCA DA PAZ,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
399,310620005650696P,-19.889435,-43.970158,IGREJA ARREBATADOS EM PENTECIATE,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
400,310620025610600P,-20.000415,-44.031056,IGREJA ASEMBLEIA DE DEUS,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
401,310620060660287P,-19.853077,-43.932541,IGREJA ASSEBLEIA DE DEUS,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
402,310620060690099P,-19.807061,-43.999051,IGREJA ASSEMBEIA DE DEUS,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
403,310620005630175P,-19.923316,-43.903575,IGREJA ASSEMBLEA DE DEUS,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
404,310620025610161P,-19.98946,-44.050903,IGREJA ASSEMBLEA DE DEUS,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
405,310620060640093P,-19.868017,-43.904907,IGREJA ASSEMBLEA DEUS,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
406,310620025610587P,-19.978508,-44.045662,IGREJA ASSEMBLEIA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
407,310620005670141P,-19.945255,-43.998322,IGREJA ASSEMBLEIA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
408,310620005680422P,-19.881542,-43.985862,IGREJA ASSEMBLEIA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
409,310620060690174P,-19.822073,-43.999187,IGREJA ASSEMBLEIA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
410,310620060690036P,-19.819697,-43.987009,IGREJA ASSEMBLEIA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
411,310620025610153P,-19.98752,-44.003159,IGREJA ASSEMBLEIA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
412,310620005630085P,-19.894803,-43.899975,IGREJA ASSEMBLEIA ATOS DOS APOSTOLOS,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
413,310620060640288P,-19.846648,-43.878442,IGREJA ASSEMBLEIA CRISTA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
414,310620005630012P,-19.912361,-43.906822,IGREJA ASSEMBLEIA CRISTA POMPEIA,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
415,310620060660213P,-19.81228,-43.941374,IGREJA ASSEMBLEIA DA FE,PROTESTANTE/EVANGÉLICA GENÉRICA,Protestante/Evangélica
416,310620005670075P,-19.952816,-43.997426,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
417,310620060690238P,-19.816509,-43.950437,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
418,310620005670449P,-19.945878,-44.001656,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
419,310620005670465P,-19.949723,-43.961828,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
420,310620005620126P,-19.943873,-43.909151,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
421,310620060690417P,-19.80138,-43.975866,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
422,310620005670743P,-19.935008,-44.014625,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
423,310620005650560P,-19.897685,-43.951748,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
424,310620005620289P,-19.956076,-43.942326,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
425,310620005620510P,-19.93257,-43.910658,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
426,310620005670517P,-19.936925,-44.002359,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
427,310620005620105P,-19.939351,-43.906529,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
428,310620025610320P,-19.991119,-44.037589,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
429,310620060640213P,-19.832216,-43.867908,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
430,310620005680314P,-19.893249,-43.987848,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
431,310620025610127P,-20.020767,-44.032476,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
432,310620005670558P,-19.954548,-43.990974,IGREJA ASSEMBLEIA DE DEUS,PENTECOSTAL CLÁSSICA,Protestante/Evangélica
